Pasr_time,label
3,4
1,4
13,4
15,4
14,4
6,4
14,4
7,4
7,4
13,4
9,4
4,4
0,4
6,4
12,4
20,4
0,4
2,4
21,4
24,4
12,4
0,4
6,4
1,4
14,4
14,4
5,4
14,4
5,4
1,4
4,4
4,4
2,4
15,4
1,4
4,4
21,4
19,5
10,5
19,5
1,5
19,5
19,5
11,5
0,5
17,5
1,5
8,5
2,5
14,5
12,5
7,5
1,5
28,5
1,5
13,5
7,5
0,5
10,5
10,5
13,5
4,5
8,5
3,5
0,5
1,5
14,5
14,5
0,5
20,5
22,5
1,5
9,5
15,5
16,5
15,5
2,5
5,5
9,5
