Pasr_time
3
6
2
5
5
1,0
8
8
5
1
6
8
2
1
2
1,4
4
9
4
1,7
7
2
6
1,5
8
3
4
3
1,1
5
8
1,0
4
1,0
9
9
9
4
9
7
1,0
1
4
4
1
9
7
3
4
2
4
7
3
4
7
2
3
1
3
2
9
2
7
2
4
4
5
1,0
3
1,2
6
2
3
1,1
4
5
6
3
3
